['m.0k8z', 'business.acquisition.acquiring_company', 'business.acquisition.company_acquired', 'm.01rtbw']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02_wh6w']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02x65_9']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02z496']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02zd5vc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02zd60y']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.02zdd_4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0313br']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.038kp1']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03bvhpd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03c3vn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03cspsd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03ct__n']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03d3pmy']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03gvrk1']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03hx3qh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03qs2_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03wqgrq']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03wvpq3']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03wwkdv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03wxdbd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.03z7s5']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04140b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.041c3x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.041ymw']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.042p0_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.047c3f']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04dfq4x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04gn_w']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04nrh5z']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04p0w0']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04ph7x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04w2kf']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04ycpj6']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04zvcs']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04zvf5']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.04zzp33']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05cp05']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05ffdn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05g571']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05lm637']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05plcb']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05r65m']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.05sv7tn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0641dfm']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0680n8']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.06kf9v']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.06lnrv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.06rc2b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.06y1l']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.06y3r']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.070x33']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07cny1']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07f7g6h']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07j833']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07k6_l2']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07r9x7']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07rb0g']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.07xmqn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.080jr5c']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.08qzjd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.097l5b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.097mlj']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.09cdjc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.09vtqm']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0b2sv8']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0bglfhp']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0bhlbm1']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0brd1cs']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0c84nh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0c9jhm']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0cn_31m']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0d21pp']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0d21v5']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0d21zn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0dbm5q']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0dqj_4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0dt0hb']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0f1rnm']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0fy2l4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gcrxq']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gf91cv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gkwpt']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gmsmf']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gv8ss']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0gy1khd']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0hr5tjf']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0j5c023']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0k0v5lc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0k1x9vh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0n9lz5x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0nc_zr4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0pm6w']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0q0x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.person', 'm.0r5w534']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.01jg6']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.01_n98']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.01rk91']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.01yc02']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.01z0qtz']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.021q0l']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02211by']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_2lvc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_36yn']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_51wr']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.0252htr']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_5v9d']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_77c8']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_79wy']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_9b3v']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02h527d']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02h7drz']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02kvlgh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02r_m2b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02wsmf8']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02wszlj']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_wv2r']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02yx74t']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02_z469']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.02z7mcb']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.03bqjfv']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.03chy_1']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04192r']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04dfrw4']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04dfrwh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04fl0zc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcjnc']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcl7x']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gclhh']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gclhp']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcm2c']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcm5p']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcmg9']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04gcmrg']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04k7t2h']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04kp_lq']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04kplr_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.04kp_mt']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.05tzh8_']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.05tzh9b']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.0bglg0c']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.0dq_5']
['m.0k8z', 'business.employment_tenure.company', 'business.employment_tenure.title', 'm.0l3v_3n']
['m.0k8z', 'business.issuer.issue.1', 'business.issuer.issue.2', 'm.07zmbv7']
['m.0k8z', 'business.market_share.company', 'business.market_share.region', 'm.09c7w0']
['m.0k8z', 'business.market_share.company', 'business.market_share.space', 'm.0169zh']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.0190r3']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.01rvfd']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.026nzp']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.030rb_3']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.03qs2_']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.03wqgrq']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.03wxdbd']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.05cp05']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.05r65m']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.06kf9v']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.06y3r']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.person', 'm.09thkp5']
['m.0k8z', 'organization.leadership.organization', 'organization.leadership.role', 'm.0dq_5']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.01762z']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0190r3']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.01gqf4']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.01rvfd']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.02_xvfj']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.03j_1t']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.04zvcs']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.06y3r']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0bmx05']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0cby0x']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0cby3n']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0d05fv']
['m.0k8z', 'organization.organization_board_membership.organization', 'organization.organization_board_membership.member', 'm.0gdryj']
['m.0k8z', 'organization.organization.founders.1', 'organization.organization.founders.2', 'm.02z496']
['m.0k8z', 'organization.organization.founders.1', 'organization.organization.founders.2', 'm.06y1l']
['m.0k8z', 'organization.organization.founders.1', 'organization.organization.founders.2', 'm.06y3r']
['m.0k8z', 'organization.organization.headquarters.inverse', 'location.mailing_address.citytown', 'm.0r679']
['m.0k8z', 'organization.organization.headquarters.inverse', 'location.mailing_address.postal_code', 'm.01zd5vw']
['m.0k8z', 'organization.organization.headquarters.inverse', 'location.mailing_address.state_province_region', 'm.01n7q']
['m.0k8z', 'organization.organization.legal_structure.1', 'organization.organization.legal_structure.2', 'm.079bdg']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_bn']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_bv']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_c0']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_c6']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_cd']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_cl']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_cs']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_cz']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_d4']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_db']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_dj']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_dq']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_dx']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_f2']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_f8']
['m.0k8z', 'organization.organization.locations.1', 'organization.organization.locations.2', 'm.03m1_fg']
